,accuracy,precision,recall,f1_score,auc_roc
Random Forest,0.9992,0.7431,0.8265,0.7826,0.9888
XGBoost,0.9991,0.7009,0.8367,0.7628,0.9704
SVM,0.9715,0.0522,0.9082,0.0987,0.9791
Neural Network,0.0,0.0,0.0,0.0,0.5
